발생년도,시도,시군구,전체발생량,총계_재활용,총계_소각,총계_매립,총계_기타
2015,강원,횡성군,34.1,14.3,13.4,6.4,0.0
2015,강원,영월군,29.4,13.7,12.1,3.6,0.0
2015,강원,평창군,36.8,28.4,6.3,2.1,0.0
2015,강원,정선군,37.6,15.6,4.1,17.9,0.0
2015,강원,철원군,56.1,10.8,15.8,29.5,0.0
2015,강원,화천군,49.1,12.4,13.1,23.6,0.0
2015,강원,양구군,28.6,17.6,11.0,0.0,0.0
2015,강원,인제군,67.7,28.0,13.0,26.7,0.0
2015,강원,고성군,35.2,6.7,21.5,7.0,0.0
2015,강원,양양군,39.4,6.0,30.1,3.3,0.0
2015,충북,청주시,907.4,585.2,245.1,77.1,0.0
2015,충북,충주시,165.4,64.5,76.0,24.9,0.0
2015,충북,제천시,111.9,30.4,27.9,53.6,0.0
2015,충북,보은군,33.7,9.2,17.9,6.6,0.0
2015,충북,옥천군,43.7,4.3,30.9,8.5,0.0
2015,충북,영동군,46.1,18.6,25.1,2.4,0.0
2015,충북,증평군,35.6,15.1,7.3,13.2,0.0
2015,충북,진천군,55.0,37.7,15.9,1.4,0.0
2015,충북,괴산군,33.7,12.8,2.3,18.6,0.0
2015,충북,음성군,70.9,28.0,36.8,6.1,0.0
2015,충북,단양군,37.9,15.0,14.1,8.8,0.0
2015,충남,천안시,720.2,423.7,193.0,103.5,0.0
2015,충남,공주시,125.5,82.3,42.2,1.0,0.0
2015,충남,보령시,97.5,52.7,44.8,0.0,0.0
2015,충남,아산시,340.8,223.9,114.6,2.3,0.0
2015,충남,서산시,154.7,82.7,72.0,0.0,0.0
2015,충남,논산시,157.2,71.8,45.5,39.9,0.0
2015,충남,계룡시,36.1,15.2,19.9,1.0,0.0
2015,충남,당진시,116.5,44.6,66.1,5.8,0.0
2015,충남,금산군,42.7,15.9,0.0,26.8,0.0
2015,충남,부여군,56.9,34.1,0.0,22.8,0.0
2015,충남,서천군,36.5,13.3,10.6,12.6,0.0
2015,충남,청양군,25.4,8.0,15.1,2.3,0.0
2015,충남,홍성군,65.4,34.1,29.9,1.4,0.0
2015,충남,예산군,50.0,17.1,31.5,1.4,0.0
2015,충남,태안군,66.8,35.0,31.8,0.0,0.0
2015,전북,전주시,691.1,493.6,159.0,38.5,0.0
2015,전북,군산시,247.7,101.4,0.0,146.3,0.0
2015,전북,익산시,244.9,126.2,118.7,0.0,0.0
2015,전북,정읍시,79.3,30.8,36.4,12.1,0.0
2015,전북,남원시,63.4,21.2,0.0,42.2,0.0
2015,전북,김제시,64.6,40.8,19.6,4.2,0.0
2015,전북,완주군,49.5,33.9,14.6,1.0,0.0
2015,전북,진안군,20.5,5.4,0.0,15.1,0.0
2015,전북,무주군,23.4,14.7,0.0,8.7,0.0
2015,전북,장수군,23.6,8.0,0.0,15.6,0.0
2015,전북,임실군,15.4,6.1,0.0,9.3,0.0
2015,전북,순창군,14.3,5.7,0.0,8.6,0.0
2015,전북,고창군,43.7,30.5,0.0,13.2,0.0
2015,전북,부안군,37.1,25.6,0.0,11.5,0.0
2015,전남,목포시,229.5,76.1,0.0,153.4,0.0
2015,전남,여수시,337.5,97.8,76.8,162.9,0.0
2015,전남,순천시,145.1,140.0,0.0,5.1,0.0
2015,전남,나주시,57.8,33.3,1.6,22.9,0.0
2015,전남,광양시,192.2,69.0,0.0,123.2,0.0
2015,전남,담양군,34.1,5.2,20.2,8.7,0.0
2015,전남,곡성군,25.7,14.0,0.0,11.7,0.0
2015,전남,구례군,15.8,15.8,0.0,0.0,0.0
2015,전남,고흥군,62.9,21.3,22.6,19.0,0.0
2015,전남,보성군,37.4,21.2,15.0,1.2,0.0
2015,전남,화순군,43.2,28.8,1.7,12.7,0.0
2015,전남,장흥군,30.6,11.3,9.1,10.2,0.0
2015,전남,강진군,28.8,13.8,8.1,6.9,0.0
2015,전남,해남군,54.1,39.0,10.2,4.9,0.0
2015,전남,영암군,110.5,81.3,29.2,0.0,0.0
2015,전남,무안군,70.1,21.2,34.3,14.6,0.0
2015,전남,함평군,15.8,1.6,9.7,4.5,0.0
2015,전남,영광군,39.1,2.5,36.2,0.4,0.0
2015,전남,장성군,24.7,3.5,15.0,6.2,0.0
2015,전남,완도군,52.0,10.5,33.0,8.5,0.0
2015,전남,진도군,26.5,8.4,18.0,0.1,0.0
2015,전남,신안군,39.8,13.5,21.1,5.2,0.0
2015,경북,포항시,424.5,184.5,0.0,240.0,0.0
2015,경북,경주시,263.3,152.1,97.9,13.3,0.0
2015,경북,김천시,83.2,23.2,51.4,8.6,0.0
2015,경북,안동시,177.0,81.1,4.5,91.4,0.0
2015,경북,구미시,340.6,150.1,180.4,10.1,0.0
2015,경북,영주시,162.1,76.8,0.0,85.3,0.0
2015,경북,영천시,71.2,22.5,47.7,1.0,0.0
2015,경북,상주시,77.9,23.8,44.5,9.6,0.0
2015,경북,문경시,104.8,32.8,43.2,28.8,0.0
2015,경북,경산시,177.1,81.6,58.9,36.6,0.0
2015,경북,군위군,18.3,3.8,6.4,8.1,0.0
2015,경북,의성군,34.9,10.4,10.2,14.3,0.0
2015,경북,청송군,27.1,9.5,14.8,2.8,0.0
2015,경북,영양군,13.5,2.8,1.2,9.5,0.0
2015,경북,영덕군,45.2,7.2,27.1,10.9,0.0
2015,경북,청도군,22.0,12.9,5.8,3.3,0.0
2015,경북,고령군,23.7,5.6,16.3,1.8,0.0
2015,경북,성주군,37.9,18.1,15.2,4.6,0.0
2015,경북,칠곡군,102.2,13.1,86.5,2.6,0.0
2015,경북,예천군,22.8,2.8,17.9,2.1,0.0
2015,경북,봉화군,64.1,30.1,1.3,32.7,0.0
2015,경북,울진군,56.1,29.5,17.7,8.9,0.0
2015,경북,울릉군,11.2,0.6,3.4,7.2,0.0
2015,경남,창원시,1024.0,536.5,412.0,75.5,0.0
2015,경남,진주시,384.0,229.7,0.0,154.3,0.0
2015,경남,통영시,172.0,54.1,89.1,28.8,0.0
2015,경남,사천시,159.7,61.2,37.1,61.4,0.0
2015,경남,김해시,455.3,269.7,161.9,23.7,0.0
2015,경남,밀양시,76.3,28.0,40.2,8.1,0.0
2015,경남,거제시,227.4,119.4,105.0,3.0,0.0
2015,경남,양산시,251.6,140.6,68.7,42.3,0.0
2015,경남,의령군,25.5,22.8,0.3,2.4,0.0
2015,경남,함안군,68.9,33.5,34.5,0.9,0.0
2015,경남,창녕군,49.8,27.4,16.9,5.5,0.0
2015,경남,고성군,36.5,18.9,16.8,0.8,0.0
2015,경남,남해군,32.6,23.8,0.0,8.8,0.0
2015,경남,하동군,43.6,11.7,10.8,21.1,0.0
2015,경남,산청군,30.0,8.6,9.8,11.6,0.0
2015,경남,함양군,33.0,7.7,15.2,10.1,0.0
